Quotes,Punc_Freq,Punc_Type,Exclamation,Stopwords,Camelcase,Negation,Propn,Usermention,Hashtags,Misspel,OutofVocab,Noun,Past_Tense,Verbs,Interrogation,word_count,mean_word_length,ttr,mtld,sentiment_score,constructive,fear,anger,trust,surprise,positive,negative,sadness,disgust,joy,anticipation
0,2,2,0,5,0,0,1,0,0,1,3,4,0,2,0,10,4,1,0,0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5
0,1,4,0,6,0,0,2,0,0,1,3,3,0,1,0,48,4,0,6,-2,1.0,0.2,0.1,0.0,0.0,0.3,0.2,0.1,0.1,0.0,0.0
0,2,2,0,7,0,0,3,0,0,0,4,4,0,2,0,35,4,0,17,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0,6,4,0,18,0,0,1,0,0,2,12,6,0,5,0,91,3,0,3,0,0.0,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111
1,5,4,0,16,0,0,1,0,0,2,11,4,0,5,1,77,3,0,4,-2,0.0,0.1538461538461538,0.1538461538461538,0.0769230769230769,0.0,0.0769230769230769,0.2307692307692307,0.0769230769230769,0.1538461538461538,0.0769230769230769,0.0
0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,3,4,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,3,4,0,10,0,0,0,0,0,1,5,2,1,3,0,172,3,0,132,-4,0.0,0.1666666666666666,0.1111111111111111,0.1111111111111111,0.0,0.0833333333333333,0.2777777777777778,0.0833333333333333,0.0833333333333333,0.0277777777777777,0.0555555555555555
0,1,1,0,12,0,0,0,0,0,0,7,3,3,5,0,73,3,0,4,-2,0.0,0.1153846153846153,0.1153846153846153,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.1538461538461538,0.1538461538461538,0.1153846153846153,0.0,0.1153846153846153
0,6,2,0,9,0,0,1,0,0,3,7,6,0,3,0,19,4,0,18,0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0
0,5,8,1,5,0,0,0,0,0,1,5,1,0,1,0,30,2,0,6,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,1,0,6,0,0,1,0,0,0,4,2,0,2,0,20,3,0,6,-1,0.0,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0
